Steps,Policy/Entropy,Policy/Learning Rate,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Policy/Extrinsic Reward,Policy/Curiosity Reward,Environment/Cumulative Reward,Environment/Episode Length
5000,2.4169683,0.00029925018,0.0,-0.06855412,0.01197484,0.0057663294,0.06954307,0.017193705,2.4246888,0.21860813644404212,0.1100591472738112,0.21860831661827737,993.0
10000,2.2232702,0.00029775017,0.5988,-0.03664452,-0.00028060228,0.0030040406,0.070134655,0.0022900386,2.2305732,-0.17919333068033058,0.04612892395428692,-0.17919324703301148,992.8
15000,2.1764805,0.00029625016,1.0,0.042197157,0.007157487,0.004900988,0.07139256,0.0019469311,2.1744676,0.16400005879501503,0.03764080073839674,0.16400010154611663,993.0
20000,2.3791714,0.00029475018,1.3968,0.14793856,0.007818817,0.012731005,0.06851586,0.0020719036,2.3712604,1.4949265670962633,0.04115445333882235,1.4949267028435618,992.8
25000,2.4092,0.00029325017,2.0,0.52314925,0.02898587,0.030581534,0.06982708,0.010169049,2.3600867,5.45355896987021,0.23503614735479156,5.453559529411965,993.0
30000,2.3362603,0.00029175016,2.9956,0.5304825,0.06805871,0.025450582,0.06899912,0.048383784,2.2215002,4.5690658445159595,0.9583347195914637,4.569066349787803,992.8
35000,2.320095,0.00029025017,3.5944,0.730424,0.18913084,0.040967233,0.07090743,0.08749804,2.0975404,7.674482003351053,2.0270037932942313,7.674482824811518,992.8
40000,2.2563193,0.00028875016,4.1932,0.79193,0.23685808,0.04117649,0.06708824,0.11702613,1.8270779,7.4700525355214875,2.7320766504233083,7.470053026478611,993.0
45000,2.211589,0.00028725018,5.0,1.0235238,0.25361478,0.045218706,0.06872943,0.13036335,1.6297023,9.51472564227879,2.442378731009861,9.514726184520502,992.8
50000,2.218015,0.00028575014,5.792,0.8087757,0.320854,0.043501392,0.07005568,0.19817917,1.6872351,8.456519046922525,4.182752313092351,8.456519708108923,992.8
55000,2.1051266,0.00028425016,6.3908,0.94440407,0.26607996,0.04071139,0.07042982,0.11365086,1.3145506,9.519852529341977,2.2446607775675753,9.519853121207174,992.8
60000,2.0059762,0.00028275017,7.0,0.85270727,0.27340078,0.035754666,0.0675034,0.121283814,1.1264722,7.487559652669976,2.7432000106821457,7.487560094967921,993.0
65000,1.9059275,0.00028125016,7.0,0.9400114,0.15224367,0.0435842,0.06665875,0.08372608,1.0289315,10.115146106729904,1.4495940959701936,10.115146733647755,993.0
70000,2.0093527,0.00027975015,7.0,1.0087669,0.17774124,0.04587829,0.067710154,0.09633674,1.260203,9.500232694499816,1.7866363480997582,9.500233259621988,993.0
75000,1.8856312,0.00027825017,7.0,1.3843545,0.14874773,0.051122777,0.066626266,0.074052736,1.1557554,12.798608794296161,1.4034172378325214,12.798609778569517,993.0
80000,1.7139633,0.0002767502,7.0,1.3652146,0.12662794,0.04925359,0.07099089,0.068037644,1.0914979,11.889475763806452,1.1860693134522686,11.889476573723853,993.0
85000,1.6535015,0.00027525018,7.0,1.0788407,0.13604246,0.042170174,0.06633817,0.059253503,1.0207396,9.933755476865917,1.2694048019048447,9.933756460075529,993.0
90000,1.4243772,0.00027375016,7.0,1.4823819,0.08972422,0.051638298,0.06712671,0.04498715,0.8216402,13.245565060060471,0.9061201053244683,13.24556641349797,993.0
95000,1.2715435,0.00027225018,7.0,1.4773196,0.06339034,0.053046007,0.07127231,0.032950386,0.78840417,13.840971727110446,0.6912291661205624,13.8409731032191,993.0
